iter	MultiClass
115	0.5755359719
116	0.5743131433
117	0.5716337196
118	0.5710873793
119	0.5704611007
120	0.5679797438
121	0.5658819642
122	0.5652091872
123	0.5643473691
124	0.5631750498
125	0.5618964808
126	0.5611833419
127	0.558866164
128	0.5557611635
129	0.5520485921
130	0.5499755665
131	0.5493224306
132	0.5476028811
133	0.5414423188
134	0.5391777835
135	0.536111349
136	0.531141479
137	0.5270323266
138	0.5243851079
139	0.5206449127
140	0.5195812137
141	0.5185311447
142	0.5163545526
143	0.5143740755
144	0.5133966626
145	0.5091381506
146	0.5080200594
147	0.5051007093
148	0.5043203023
149	0.503668408
150	0.4993024706
151	0.4985074191
152	0.4965523848
153	0.492253826
154	0.4910231032
155	0.4893307455
156	0.4867480132
157	0.4833229891
158	0.480687542
159	0.476697709
160	0.4733932689
161	0.470051551
162	0.4691084189
163	0.468344734
164	0.4643121495
165	0.4610905692
166	0.4586502283
167	0.4557159031
168	0.4550073693
169	0.4520529532
170	0.4501163111
171	0.4487105012
172	0.4482747424
173	0.4450097521
174	0.4432108721
175	0.4423793322
176	0.4397390384
177	0.438926176
178	0.437084537
179	0.4363729675
180	0.4359955885
181	0.4350915292
182	0.4338853326
183	0.4328818547
184	0.431929765
185	0.4315106828
186	0.4309870599
187	0.428019049
188	0.4276455133
189	0.4257130416
190	0.4240749804
191	0.4235445049
192	0.4209037147
193	0.4188174349
194	0.4155335413
195	0.4143450979
196	0.4136815206
197	0.4114013251
198	0.4088390275
199	0.4067089203
200	0.4063861273
201	0.4053463475
202	0.4040343194
203	0.4024722557
204	0.4018760777
205	0.4013888992
206	0.400616599
207	0.4001073665
208	0.39894009
209	0.3980304965
210	0.3949074446
211	0.3942140257
212	0.3923936776
213	0.3912306447
214	0.3908460011
215	0.3887748205
216	0.3863117957
217	0.3850392742
218	0.3837483666
219	0.3824898883
220	0.3818825795
221	0.3806701486
222	0.3796482829
223	0.3792225485
224	0.3759081206
225	0.3753164503
226	0.37343613
227	0.3730108764
228	0.3702250221
229	0.3679542653
230	0.3662436931
231	0.3658224649
232	0.3653039646
233	0.3648105283
234	0.3624562884
235	0.3603948375
236	0.3592739363
237	0.3583379339
238	0.3580445185
239	0.3575700871
240	0.3568371515
241	0.356311596
242	0.3554570738
243	0.3550545938
244	0.3540877095
245	0.3534848643
246	0.352825088
247	0.3510670506
248	0.3500121725
249	0.3480518045
250	0.3476529707
251	0.3455101257
252	0.3443491135
253	0.3430894619
254	0.3424236873
255	0.3415859078
256	0.3406682757
257	0.3402307151
258	0.3383866782
259	0.3371055397
260	0.3368357592
261	0.3364182323
262	0.3356829919
263	0.3340859916
264	0.3332022579
265	0.3310988111
266	0.3300039193
267	0.3293324669
268	0.3288542122
269	0.3279781965
270	0.3276037555
271	0.3271713477
272	0.3256391069
273	0.3242014062
274	0.3238172996
275	0.3224184917
276	0.3218946059
277	0.3214240321
278	0.3201778994
279	0.3193256633
280	0.3190176426
281	0.3183693046
282	0.317487673
283	0.3166175449
284	0.3162395538
285	0.3159307286
286	0.3151413696
287	0.3146842502
288	0.313601713
289	0.31299798
290	0.3122515454
291	0.3099184262
292	0.3093821823
293	0.3090399997
294	0.3087822201
295	0.307797921
296	0.3074727336
297	0.3063305821
298	0.3058313774
299	0.3054919762
300	0.3045559382
301	0.3043284195
302	0.3031938145
303	0.3025369039
304	0.3023225403
305	0.3015917033
306	0.3002843072
307	0.3000266992
308	0.2980516708
309	0.2971677746
310	0.2963949533
311	0.295702101
312	0.294299551
313	0.29382207
314	0.2923908612
315	0.2916524265
316	0.2902464133
317	0.2885475417
318	0.2877146785
319	0.2865237641
320	0.2862158106
321	0.2856962381
322	0.2851352843
323	0.2841154763
324	0.2838361313
325	0.2834390326
326	0.2825223816
327	0.2820453472
328	0.2811536072
329	0.2808303768
330	0.2804399699
331	0.280244414
332	0.2789932426
333	0.278749607
334	0.2784615328
335	0.2773280652
336	0.2771074778
337	0.2769567442
338	0.2767446052
339	0.2765230446
340	0.2763218593
341	0.2761243575
342	0.2758379887
343	0.2755044739
344	0.2752372057
345	0.2750395875
346	0.2740171507
347	0.273715283
348	0.2723894918
349	0.2718975651
350	0.2717184654
351	0.2710380097
352	0.2698336409
353	0.2695687692
354	0.269037828
355	0.2680014621
356	0.2677326298
357	0.267496651
358	0.2665760205
359	0.2653792509
360	0.2643696941
361	0.2639750609
362	0.2637326794
363	0.2633247105
364	0.2630792337
365	0.2621097432
366	0.2619155315
367	0.2614187768
368	0.260700273
369	0.2598150249
370	0.2595462932
371	0.2586018134
372	0.2578174935
373	0.2564816056
374	0.2552000378
375	0.2547049661
376	0.2544868222
377	0.2542271259
378	0.2540999769
379	0.2539062737
380	0.2531912649
381	0.2527875445
382	0.2520664668
383	0.2518249074
384	0.2516545285
385	0.2513589984
386	0.2507840641
387	0.2497898992
388	0.2495760776
389	0.2490551029
390	0.2483577476
391	0.2477091338
392	0.2466683088
393	0.2464160684
394	0.2461413224
395	0.2459336377
396	0.2451936106
397	0.2449460203
398	0.2447081353
399	0.2431673761
400	0.2430101417
401	0.2428551733
402	0.2425274607
403	0.2423540204
404	0.2421773952
405	0.2418234716
406	0.240917696
407	0.2403187272
408	0.2400514043
409	0.239878672
410	0.2392251431
411	0.238697613
412	0.2385264755
413	0.2382162584
414	0.237796665
415	0.2375373303
416	0.2372030779
417	0.2370624573
418	0.236479138
419	0.2354605211
420	0.2352002175
421	0.234502905
422	0.2342454179
423	0.2338399265
424	0.2336788318
425	0.2328715487
426	0.2322632855
427	0.2320972122
428	0.2318114041
429	0.2315723563
430	0.2311623984
431	0.2303760368
432	0.2301373508
433	0.2293578766
434	0.2287279827
435	0.2282358247
436	0.2280492232
437	0.2272108405
438	0.2270055656
439	0.2268719629
440	0.2266995375
441	0.2264888244
442	0.2257954049
443	0.2253463781
444	0.2250253099
445	0.2243842028
446	0.2242547955
447	0.2233796204
448	0.2230794269
449	0.2226018694
450	0.2223553982
451	0.2221279543
452	0.2219765954
453	0.2213737488
454	0.220490817
455	0.2196452571
456	0.2190112407
457	0.218448045
458	0.2177993618
459	0.2176482598
460	0.2169162219
461	0.2164398015
462	0.21627707
463	0.215938379
464	0.215414075
465	0.2144802727
466	0.2143125508
467	0.2141693645
468	0.2139236084
469	0.21377449
470	0.2136501413
471	0.2133646851
472	0.2130373877
473	0.2124511053
474	0.2115730295
475	0.2114037298
476	0.2102057716
477	0.2095354842
478	0.2093817848
479	0.2089654345
480	0.2087982447
481	0.2086256823
482	0.2084617604
483	0.207818349
484	0.2076876305
485	0.2068207212
486	0.2066489145
487	0.2058433034
488	0.205289546
489	0.2047992514
490	0.2044078003
491	0.2042806283
492	0.2040093847
493	0.2032159056
494	0.2028676733
495	0.2027334018
496	0.2020208883
497	0.2017961342
498	0.2015144348
499	0.201285815
500	0.200322073
501	0.1995682288
502	0.1992482855
503	0.198989647
504	0.1982009725
505	0.197828489
506	0.1969199503
507	0.1962409777
508	0.1955830153
509	0.1953357616
510	0.195157088
511	0.1945167307
512	0.193575217
513	0.1934502494
514	0.1922186491
515	0.1920343459
516	0.1919190885
517	0.191795481
518	0.191124788
519	0.19040943
520	0.1901427575
521	0.1900011914
522	0.1899038379
523	0.1896706638
524	0.1895542502
525	0.1889939961
526	0.1888797186
527	0.1882197825
528	0.1881168031
529	0.1878454124
530	0.1874951599
531	0.1872626636
532	0.1870176537
533	0.1864670148
534	0.1856907879
535	0.1851979812
536	0.1849055929
537	0.184565512
538	0.1838818466
539	0.1836982361
540	0.1830109223
541	0.1829177836
542	0.18282033
543	0.1823227638
544	0.1818515985
545	0.1817477437
546	0.1816546495
547	0.1811141511
548	0.1809102029
549	0.1800993191
550	0.1799509811
551	0.1797848004
552	0.1795987538
553	0.1794838274
554	0.1791419712
555	0.1789599741
556	0.1787971082
557	0.1781842466
558	0.1775750333
559	0.1774431312
560	0.1773238793
561	0.1772411128
562	0.1766335723
563	0.1765234936
564	0.176055808
565	0.1758735245
566	0.1757855124
567	0.1756704663
568	0.1752700024
569	0.1750227039
570	0.17431743
571	0.1736003083
572	0.1735031753
573	0.1729327591
574	0.172697769
575	0.1724651265
576	0.1723703982
577	0.1722867104
578	0.1719959223
579	0.1717657362
580	0.1716295968
581	0.1711917515
582	0.1709432929
583	0.1708239511
584	0.1707382375
585	0.1701069353
586	0.1699197845
587	0.169767586
588	0.1691107412
589	0.1687967558
590	0.1685094403
591	0.1683991773
592	0.1682340392
593	0.1678860951
594	0.167782692
595	0.1676396409
596	0.1672875058
597	0.1669759348
598	0.1667155776
599	0.1661028789
600	0.1659336793
601	0.1658117543
602	0.1656055932
603	0.1650598141
604	0.1648632458
605	0.1643873722
606	0.1641793893
607	0.1640764119
608	0.1638216617
609	0.1635199695
610	0.1633886657
611	0.1632522012
612	0.1627902695
613	0.1627074188
614	0.1626174878
615	0.1625109785
616	0.1624081764
617	0.1618360396
618	0.1615663672
619	0.1614847003
620	0.1611454244
621	0.1607241003
622	0.1606397599
623	0.160329699
624	0.1601636742
625	0.1599842637
626	0.1595182361
627	0.159432349
628	0.1593506838
629	0.1588298342
630	0.1585796649
631	0.1584828047
632	0.1580014483
633	0.1574794315
634	0.157289267
635	0.156800254
636	0.1562782885
637	0.1556265029
638	0.1554821475
639	0.1554044299
640	0.1553018621
641	0.1552404349
642	0.1551698971
643	0.1548869007
644	0.15457393
645	0.1544747972
646	0.154351062
647	0.1542092143
648	0.1540686661
649	0.1539779342
650	0.1533918733
651	0.1530528209
652	0.152524796
653	0.1524469185
654	0.1523500725
655	0.1517062759
656	0.1516234103
657	0.1515332815
658	0.1514297243
659	0.151341979
660	0.1510242402
661	0.1503698875
662	0.1502886172
663	0.1502179109
664	0.1500388968
665	0.149688312
666	0.1495596657
667	0.1492901256
668	0.1492211327
669	0.1491556226
670	0.1487110963
671	0.1484778032
672	0.1479575147
673	0.1478789389
674	0.1475137166
675	0.14718915
676	0.1469649347
677	0.1468836026
678	0.1465552395
679	0.1461773208
680	0.1460752484
681	0.1460214048
682	0.1459595662
683	0.1458629843
684	0.1457808535
685	0.1456804125
686	0.14528445
687	0.1448806706
688	0.1443294029
689	0.1442553857
690	0.1437550519
691	0.1436069924
692	0.1432645378
693	0.1428571518
694	0.1427717868
695	0.1422784235
696	0.1419488407
697	0.1417293311
698	0.1415550178
699	0.1412187399
700	0.1411529759
701	0.1409291087
702	0.1406636933
703	0.1405430867
704	0.1404575763
705	0.1401517825
706	0.139896554
707	0.139826286
708	0.1397550646
709	0.1395342343
710	0.1393943041
711	0.1392356767
712	0.1391732071
713	0.1391151534
714	0.138931808
715	0.1387055065
716	0.1383829972
717	0.1383226291
718	0.1378032409
719	0.1374584404
720	0.1373935159
721	0.1373012372
722	0.1371353901
723	0.1370335775
724	0.1369246229
725	0.136768458
726	0.1365000323
727	0.1363179099
728	0.136229303
729	0.1360649035
730	0.1356511495
731	0.1354038534
732	0.1353389305
733	0.1352804583
734	0.1348296391
735	0.1345832168
736	0.1345283709
737	0.134467218
738	0.1343152798
739	0.1342139198
740	0.1340413863
741	0.1338670106
742	0.1335278357
743	0.1331302549
744	0.133016532
745	0.1326295885
746	0.132549238
747	0.1323129023
748	0.1321380059
749	0.1317250464
750	0.1316543406
751	0.1312567154
752	0.1311202301
753	0.1307753266
754	0.1305802118
755	0.1302552361
756	0.1298102687
757	0.1296548175
758	0.1290879646
759	0.1287028661
760	0.1286197403
761	0.1284769614
762	0.1283371437
763	0.1279940806
764	0.1279267225
765	0.1274912959
766	0.1274441621
767	0.1272448899
768	0.127033645
769	0.1268173051
770	0.126541779
771	0.1260113011
772	0.1258531314
773	0.1257552526
774	0.1255781171
775	0.1252147127
776	0.1250375632
777	0.1247015519
778	0.124511033
779	0.1242977083
780	0.1238956265
781	0.1236574362
782	0.1234333869
783	0.1230596417
784	0.1230077291
785	0.1229312303
786	0.1226854284
787	0.1226329095
788	0.1222417116
789	0.122191665
790	0.1220884706
791	0.1218459212
792	0.1216098104
793	0.1212709887
794	0.1211909269
795	0.1210394905
796	0.1209548824
797	0.1208962486
798	0.1206893864
799	0.1203271168
800	0.1202035929
801	0.1201251443
802	0.1200872638
803	0.1200376046
804	0.1199628783
805	0.1199174258
806	0.1198654399
807	0.1195241221
808	0.1192872587
809	0.1191921638
810	0.1189318753
811	0.1188676892
812	0.1185344379
813	0.1184578082
814	0.1183774372
815	0.1182828558
816	0.1181186797
817	0.1180305448
818	0.1179731257
819	0.117753308
820	0.1176593851
821	0.1175738145
822	0.1174916167
823	0.1173550151
824	0.1171658786
825	0.1170848422
826	0.1169325666
827	0.1165841516
828	0.1165198207
829	0.116186649
830	0.1161455672
831	0.115980478
832	0.1158451901
833	0.1157821316
834	0.1157087887
835	0.1154276469
836	0.1152372123
837	0.115162747
838	0.1150277124
839	0.1146688636
840	0.114407352
841	0.1143527035
842	0.1142960758
843	0.1141697224
844	0.1139832485
845	0.1136795379
846	0.113636952
847	0.1134257985
848	0.1130243601
849	0.1129576614
850	0.1128028782
851	0.1127378445
852	0.1126256138
853	0.1123296442
854	0.1122267188
855	0.1120504895
856	0.1119855288
857	0.1117023581
858	0.1113429179
859	0.1111816124
860	0.1110889339
861	0.1109122595
862	0.1107764449
863	0.1107181351
864	0.110680334
865	0.1105782708
866	0.1104034701
867	0.1103137845
868	0.1102642058
869	0.1102251817
870	0.1101642064
871	0.1099570071
872	0.1095741969
873	0.1095247469
874	0.1094027855
875	0.1093681673
876	0.1093132214
877	0.1092243394
878	0.109027738
879	0.108856644
880	0.1086189265
881	0.1085884373
882	0.1082589164
883	0.1082199164
884	0.1081790245
885	0.108138146
886	0.1078182662
887	0.1077648406
888	0.1076485989
889	0.1075172123
890	0.1072789412
891	0.1071970399
892	0.1067883911
893	0.106710162
894	0.1066287109
895	0.1065749611
896	0.1063904253
897	0.1062784287
898	0.10617707
899	0.1061355048
900	0.1058395935
901	0.1055969687
902	0.1055149835
903	0.1054689144
904	0.1054213457
905	0.1053909547
906	0.1052698868
907	0.1050405017
908	0.1050089741
909	0.1048391674
910	0.1046751118
911	0.1046349134
912	0.1045448489
913	0.1043491681
914	0.1042861053
915	0.1040659024
916	0.1038204364
917	0.1037699852
918	0.1036239875
919	0.1035845657
920	0.103429334
921	0.103352087
922	0.1032633518
923	0.1031768123
924	0.1031252027
925	0.1030777518
926	0.1029526662
927	0.1028544839
928	0.1026355771
929	0.1023358366
930	0.1022997352
931	0.1022159883
932	0.1021739877
933	0.102115417
934	0.1020677902
935	0.1019023725
936	0.1016830269
937	0.1016373244
938	0.1013504933
939	0.1013023317
940	0.1012707251
941	0.1011739075
942	0.1011226956
943	0.1010780848
944	0.100856434
945	0.1007165693
946	0.1004663832
947	0.1003998562
948	0.1003589718
949	0.1003287727
950	0.1002419657
951	0.1001971089
952	0.09991118063
953	0.0998039501
954	0.09976245605
955	0.09963764858
956	0.09954408121
957	0.09947893374
958	0.09916740939
959	0.09888827102
960	0.09876970874
961	0.09847368221
962	0.09844021246
963	0.09840032991
964	0.09832244537
965	0.09821773542
966	0.09802849611
967	0.09777592022
968	0.09772340025
969	0.0976801615
970	0.09763938336
971	0.09758871706
972	0.09735219321
973	0.09712970802
974	0.0970923868
975	0.09705648662
976	0.09699269188
977	0.09671636069
978	0.09665957906
979	0.09648458313
980	0.09633114312
981	0.09628779925
982	0.0961870332
983	0.09615320285
984	0.09596010773
985	0.09575304796
986	0.09570358391
987	0.09561535906
988	0.0954971112
989	0.09532047566
990	0.09510678409
991	0.09504759033
992	0.09499720444
993	0.09495116574
994	0.09470414471
995	0.09464066675
996	0.09459691089
997	0.09451844391
998	0.09439703041
999	0.09436663676
